Config No.,Alarm events,Control events,Avg. alarm wait,Avg. control wait,Max alarm wait,Max control wait
7,2,9,1.0,2.67,1,4
7,0,11,0,1.91,0,4
7,0,5,0,1.2,0,2
7,0,5,0,3.8,0,5
7,0,12,0,1.75,0,3
7,0,9,0,2.78,0,5
7,0,2,0,2.5,0,4
7,0,4,0,1.0,0,1
7,0,8,0,1.62,0,2
7,0,8,0,1.62,0,4
7,0,17,0,2.18,0,4
7,0,27,0,2.56,0,8
8,0,7,0,1.43,0,4
8,0,29,0,2.34,0,5
8,0,9,0,3.67,0,8
8,0,4,0,1.5,0,3
8,0,6,0,1.5,0,2
8,0,9,0,1.56,0,4
8,0,13,0,2.31,0,5
8,0,8,0,2.88,0,8
8,0,8,0,1.88,0,4
8,0,19,0,2.79,0,6
8,0,32,0,3.03,0,9
8,0,40,0,4.1,0,9
8,0,64,0,3.95,0,10
8,0,69,0,5.46,0,10
8,0,59,0,4.86,0,10
8,0,72,0,4.79,0,10
8,0,55,0,5.84,0,10
8,0,46,0,4.2,0,10
8,0,46,0,3.61,0,10
8,0,59,0,3.75,0,10
8,0,72,0,5.1,0,10
8,0,64,0,4.27,0,10
8,0,76,0,4.16,0,10
8,0,72,0,4.9,0,10
8,2,81,1.0,4.77,1,10
8,0,74,0,5.73,0,10
8,0,58,0,4.45,0,10
8,0,68,0,4.68,0,10
8,0,66,0,4.53,0,10
8,0,58,0,4.76,0,10
8,0,50,0,3.62,0,10
8,0,41,0,3.9,0,10
8,0,41,0,3.88,0,10
8,0,32,0,4.78,0,9
8,0,31,0,3.13,0,8
8,0,38,0,3.79,0,10
8,0,31,0,3.32,0,9
8,0,27,0,2.07,0,6
8,0,12,0,3.58,0,9
8,0,5,0,2.0,0,4
8,0,6,0,1.67,0,3
8,0,20,0,2.4,0,4
8,0,23,0,2.57,0,8
8,0,23,0,2.3,0,7
8,0,34,0,3.26,0,10
8,0,17,0,3.47,0,9
8,0,11,0,2.09,0,5
8,0,6,0,1.17,0,2
8,0,6,0,1.17,0,2
8,0,18,0,2.0,0,4
8,0,36,0,2.92,0,8
8,0,46,0,2.89,0,10
8,0,34,0,3.94,0,9
9,0,10,0,2.0,0,4
9,0,20,0,2.2,0,6
9,0,0,0,0,0,0
9,0,2,0,2.0,0,3
9,0,4,0,1.25,0,2
9,0,2,0,1.0,0,1
9,0,14,0,1.93,0,3
9,0,8,0,3.0,0,7
9,0,19,0,2.21,0,5
9,0,42,0,2.95,0,10
9,2,48,1.0,4.38,1,10
9,0,54,0,4.5,0,10
9,0,56,0,5.04,0,10
9,0,65,0,4.89,0,10
9,0,80,0,5.58,0,10
